name,set,SMILES,Ar,R,solvent,concentration,T(K),e.r.,ratio(R),ddG,ddG calib (C=0.05),,
13,b,CC(C)(C)c1ccc(cc1)-c1cc2ccccc2c-2c1OP(NP1(Oc3c(cc4ccccc4c3-c3c(O1)c(cc1ccccc31)-c1ccc(cc1)C(C)(C)C)-c1ccc(cc1)C(C)(C)C)=NS(=O)(=O)C(F)(F)F)(Oc1c(cc3ccccc3c-21)-c1ccc(cc1)C(C)(C)C)=NS(=O)(=O)C(F)(F)F,[C:2][c:1]1ccc(cc1)C(C)(C)C,FC(F)(F)S(=O)=O,cyclohexane,0.05,333.15,9.5:90.5,0.095,-6.2437,-6.2437,,
14,a,CCC(CC)(CC)c1ccc(cc1)-c1cc2ccccc2c-2c1OP(NP1(Oc3c(cc4ccccc4c3-c3c(O1)c(cc1ccccc31)-c1ccc(cc1)C(CC)(CC)CC)-c1ccc(cc1)C(CC)(CC)CC)=NS(=O)(=O)C(F)(F)F)(Oc1c(cc3ccccc3c-21)-c1ccc(cc1)C(CC)(CC)CC)=NS(=O)(=O)C(F)(F)F,CCC(CC)(CC)c1cc[c:1]([C:2])cc1,FC(F)(F)S(=O)=O,toluene,0.185,313.15,24.0:76.0,0.24,-3.0012,-3.3615,,
15,b,CC1(CCCCC1)c1ccc(cc1)-c1cc2ccccc2c-2c1OP(NP1(Oc3c(cc4ccccc4c3-c3c(O1)c(cc1ccccc31)-c1ccc(cc1)C1(C)CCCCC1)-c1ccc(cc1)C1(C)CCCCC1)=NS(=O)(=O)C(F)(F)F)(Oc1c(cc3ccccc3c-21)-c1ccc(cc1)C1(C)CCCCC1)=NS(=O)(=O)C(F)(F)F,[C:2][c:1]1ccc(cc1)C1(C)CCCCC1,FC(F)(F)S(=O)=O,cyclohexane,0.05,333.15,13.0:87.0,0.13,-5.2656,-5.2656,,
16,a,CC(C)c1cc(cc(c1)-c1cc2ccccc2c-2c1OP(NP1(Oc3c(cc4ccccc4c3-c3c(O1)c(cc1ccccc31)-c1cc(cc(c1)C(C)C)C(C)C)-c1cc(cc(c1)C(C)C)C(C)C)=NS(=O)(=O)C(F)(F)F)(Oc1c(cc3ccccc3c-21)-c1cc(cc(c1)C(C)C)C(C)C)=NS(=O)(=O)C(F)(F)F)C(C)C,CC(C)c1c[c:1]([C:2])cc(c1)C(C)C,FC(F)(F)S(=O)=O,toluene,0.185,313.15,60.0:40.0,0.6,1.0557,1.1824,,
17,a,FC(F)(F)S(=O)(=O)N=P1(NP2(Oc3c(cc4ccccc4c3-c3c(O2)c(cc2ccccc32)-c2ccc3c(ccc4ccccc34)c2)-c2ccc3c(ccc4ccccc34)c2)=NS(=O)(=O)C(F)(F)F)Oc2c(cc3ccccc3c2-c2c(O1)c(cc1ccccc21)-c1ccc2c(ccc3ccccc23)c1)-c1ccc2c(ccc3ccccc23)c1,[C:2][c:1]1ccc2c(ccc3ccccc23)c1,FC(F)(F)S(=O)=O,toluene,0.185,313.15,56.0:44.0,0.56,0.6279,0.7033,,
18,a,FC(F)(F)S(=O)(=O)N=P1(NP2(Oc3c(cc4ccccc4c3-c3c(O2)c(cc2ccccc32)-c2ccc-3c(Cc4ccccc-34)c2)-c2ccc-3c(Cc4ccccc-34)c2)=NS(=O)(=O)C(F)(F)F)Oc2c(cc3ccccc3c2-c2c(O1)c(cc1ccccc21)-c1ccc-2c(Cc3ccccc-23)c1)-c1ccc-2c(Cc3ccccc-23)c1,[C:2][c:1]1ccc-2c(Cc3ccccc-23)c1,FC(F)(F)S(=O)=O,toluene,0.185,313.15,56.0:44.0,0.56,0.6279,0.7033,,
19,a,CC(C)(c1ccccc1)c1ccc(cc1)-c1cc2ccccc2c-2c1OP(NP1(Oc3c(cc4ccccc4c3-c3c(O1)c(cc1ccccc31)-c1ccc(cc1)C(C)(C)c1ccccc1)-c1ccc(cc1)C(C)(C)c1ccccc1)=NS(=O)(=O)C(F)(F)F)(Oc1c(cc3ccccc3c-21)-c1ccc(cc1)C(C)(C)c1ccccc1)=NS(=O)(=O)C(F)(F)F,[C:2][c:1]1ccc(cc1)C(C)(C)c1ccccc1,FC(F)(F)S(=O)=O,toluene,0.185,313.15,21.0:79.0,0.21,-3.4497,-3.8639,,
20,b,CC(C)(C)C(C)(C)c1ccc(cc1)-c1cc2ccccc2c-2c1OP(NP1(Oc3c(cc4ccccc4c3-c3c(O1)c(cc1ccccc31)-c1ccc(cc1)C(C)(C)C(C)(C)C)-c1ccc(cc1)C(C)(C)C(C)(C)C)=NS(=O)(=O)C(F)(F)F)(Oc1c(cc3ccccc3c-21)-c1ccc(cc1)C(C)(C)C(C)(C)C)=NS(=O)(=O)C(F)(F)F,[C:2][c:1]1ccc(cc1)C(C)(C)C(C)(C)C,FC(F)(F)S(=O)=O,cyclohexane,0.05,333.15,8.5:91.5,0.085,-6.5822,-6.5822,,
21,b,FC(F)(F)S(=O)(=O)N=P1(NP2(Oc3c(cc4ccccc4c3-c3c(O2)c(cc2ccccc32)-c2ccc3-c4ccccc4-c4cccc2c34)-c2ccc3-c4ccccc4-c4cccc2c34)=NS(=O)(=O)C(F)(F)F)Oc2c(cc3ccccc3c2-c2c(O1)c(cc1ccccc21)-c1ccc2-c3ccccc3-c3cccc1c23)-c1ccc2-c3ccccc3-c3cccc1c23,[C:2][c:1]1ccc2-c3ccccc3-c3cccc1c23,FC(F)(F)S(=O)=O,cyclohexane,0.05,333.15,71.0:29.0,0.71,2.4802,2.4802,,
22,a,FC(F)(F)S(=O)(=O)N=P1(NP2(Oc3c(cc4ccccc4c3-c3c(O2)c(cc2ccccc32)-c2cc3ccc4cccc5ccc(c2)c3c45)-c2cc3ccc4cccc5ccc(c2)c3c45)=NS(=O)(=O)C(F)(F)F)Oc2c(cc3ccccc3c2-c2c(O1)c(cc1ccccc21)-c1cc2ccc3cccc4ccc(c1)c2c34)-c1cc2ccc3cccc4ccc(c1)c2c34,[C:2][c:1]1cc2ccc3cccc4ccc(c1)c2c34,FC(F)(F)S(=O)=O,toluene,0.185,313.15,61.0:39.0,0.61,1.1647,1.3045,,
